,bathrooms,bedrooms,graph_data_link,home_detail_link,home_size,home_type,last_sold_date,last_sold_price,latitude,longitude,property_size,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,zestimate_percentile,zestimate_valuationRange_low,zestimate_valuation_range_high,zestimate_value_change,zillow_id
0,3.0,4,http://www.zillow.com/homedetails/10385-SW-Mockingbird-Way-Beaverton-OR-97007/48544000_zpid/#charts-and-data,http://www.zillow.com/homedetails/10385-SW-Mockingbird-Way-Beaverton-OR-97007/48544000_zpid/,2121,SingleFamily,09/10/1993,179500,45.444857,-122.829495,10454,402240.0,2015,1989,482604,02/06/2017,0,458474,506734,-1735,48544000
1,1.0,1,http://www.zillow.com/homedetails/9635-SE-Harold-St-Portland-OR-97266/53952116_zpid/#charts-and-data,http://www.zillow.com/homedetails/9635-SE-Harold-St-Portland-OR-97266/53952116_zpid/,1273,SingleFamily,,,45.482927,-122.564431,9078,163850.0,2015,1901,264276,02/06/2017,0,214064,285418,-3651,53952116
2,1.0,2,http://www.zillow.com/homedetails/3966-N-Gantenbein-Ave-Portland-OR-97227/53837913_zpid/#charts-and-data,http://www.zillow.com/homedetails/3966-N-Gantenbein-Ave-Portland-OR-97227/53837913_zpid/,719,SingleFamily,08/16/2002,142000,45.551765,-122.668795,2500,317120.0,2015,1927,389423,02/06/2017,0,354375,420577,1417,53837913
3,2.0,3,http://www.zillow.com/homedetails/8017-N-Dana-Ave-Portland-OR-97203/53974104_zpid/#charts-and-data,http://www.zillow.com/homedetails/8017-N-Dana-Ave-Portland-OR-97203/53974104_zpid/,1308,SingleFamily,11/30/1994,105950,45.58179,-122.71273,10000,379530.0,2015,1905,424244,02/06/2017,0,381820,466668,-2997,53974104
4,1.0,0,,http://www.zillow.com/homedetails/3056-NE-Holladay-St-APT-505-Portland-OR-97232/2099471057_zpid/,340,MultiFamily2To4,,,45.52981,-122.6333,,,,,612893,02/06/2017,0,484185,704827,45318,2099471057
5,2.0,3,http://www.zillow.com/homedetails/7200-SW-Sylvan-Ct-Portland-OR-97225/48594644_zpid/#charts-and-data,http://www.zillow.com/homedetails/7200-SW-Sylvan-Ct-Portland-OR-97225/48594644_zpid/,1524,SingleFamily,09/01/1982,62500,45.504585,-122.751092,10454,363310.0,2015,1945,439562,02/06/2017,0,417584,461540,1461,48594644
6,2.0,3,http://www.zillow.com/homedetails/2614-SE-Alder-St-Hillsboro-OR-97123/48593367_zpid/#charts-and-data,http://www.zillow.com/homedetails/2614-SE-Alder-St-Hillsboro-OR-97123/48593367_zpid/,1425,SingleFamily,,,45.513229,-122.955853,10620,272140.0,2015,1969,333756,02/06/2017,0,310393,350444,1862,48593367
7,3.0,3,http://www.zillow.com/homedetails/8031-N-Leavitt-Ave-12-5-Portland-OR-97203/72260424_zpid/#charts-and-data,http://www.zillow.com/homedetails/8031-N-Leavitt-Ave-12-5-Portland-OR-97203/72260424_zpid/,1657,Condominium,10/03/2014,229250,45.591473,-122.75289,,185960.0,2015,2007,329930,02/06/2017,0,313434,346426,1610,72260424
8,1.0,3,http://www.zillow.com/homedetails/2330-NE-121st-Ave-Portland-OR-97220/53911973_zpid/#charts-and-data,http://www.zillow.com/homedetails/2330-NE-121st-Ave-Portland-OR-97220/53911973_zpid/,960,SingleFamily,06/15/2016,250000,45.539116,-122.538452,6098,158680.0,2015,1955,260822,02/06/2017,0,247781,276471,-109,53911973
9,2.0,3,http://www.zillow.com/homedetails/12925-Noblewood-Ave-Oregon-City-OR-97045/48275729_zpid/#charts-and-data,http://www.zillow.com/homedetails/12925-Noblewood-Ave-Oregon-City-OR-97045/48275729_zpid/,1506,SingleFamily,10/22/1993,133500,45.318851,-122.602424,20371,324776.0,2015,1978,404987,02/06/2017,0,376638,449536,3489,48275729
10,2.0,2,http://www.zillow.com/homedetails/6025-NE-14th-Ave-Portland-OR-97211/53879495_zpid/#charts-and-data,http://www.zillow.com/homedetails/6025-NE-14th-Ave-Portland-OR-97211/53879495_zpid/,862,SingleFamily,10/01/1999,126000,45.566818,-122.651304,5000,324900.0,2015,1949,418526,02/06/2017,0,389229,443638,2082,53879495
11,3.5,4,http://www.zillow.com/homedetails/11555-NW-Praline-Ln-Portland-OR-97229/96385457_zpid/#charts-and-data,http://www.zillow.com/homedetails/11555-NW-Praline-Ln-Portland-OR-97229/96385457_zpid/,2479,SingleFamily,08/31/2015,495000,45.540385,-122.795553,2613,455040.0,2015,2011,561170,02/06/2017,0,533112,589228,1209,96385457
12,3.0,4,http://www.zillow.com/homedetails/3825-SW-90th-Ave-Portland-OR-97225/48625576_zpid/#charts-and-data,http://www.zillow.com/homedetails/3825-SW-90th-Ave-Portland-OR-97225/48625576_zpid/,2576,SingleFamily,04/11/1994,159500,45.4924,-122.76965,19166,537940.0,2015,1977,686558,02/06/2017,0,652230,720886,5208,48625576
13,1.0,1,http://www.zillow.com/homedetails/5819-NE-Alberta-St-Portland-OR-97218/53938407_zpid/#charts-and-data,http://www.zillow.com/homedetails/5819-NE-Alberta-St-Portland-OR-97218/53938407_zpid/,676,SingleFamily,08/21/2009,175000,45.559444,-122.602823,9000,191900.0,2015,1929,295674,02/06/2017,0,242453,319328,247,53938407
14,1.0,3,http://www.zillow.com/homedetails/6229-SE-120th-Ave-Portland-OR-97266/54003361_zpid/#charts-and-data,http://www.zillow.com/homedetails/6229-SE-120th-Ave-Portland-OR-97266/54003361_zpid/,1932,SingleFamily,12/07/2012,130000,45.477292,-122.540216,8276,220510.0,2015,1956,288727,02/06/2017,0,265629,306051,-15499,54003361
15,2.0,3,http://www.zillow.com/homedetails/13105-SW-Weir-Rd-Beaverton-OR-97008/48588463_zpid/#charts-and-data,http://www.zillow.com/homedetails/13105-SW-Weir-Rd-Beaverton-OR-97008/48588463_zpid/,1533,SingleFamily,09/01/1981,68500,45.447844,-122.812219,6970,303910.0,2015,1978,371075,02/06/2017,0,352521,389629,1417,48588463
16,3.0,4,http://www.zillow.com/homedetails/13297-SE-139th-Ave-Clackamas-OR-97086/48299434_zpid/#charts-and-data,http://www.zillow.com/homedetails/13297-SE-139th-Ave-Clackamas-OR-97086/48299434_zpid/,2518,SingleFamily,02/03/2016,370000,45.426781,-122.522437,9918,362331.0,2015,1990,426701,02/06/2017,0,405366,448036,5049,48299434
17,1.0,2,http://www.zillow.com/homedetails/9734-N-Exeter-Ave-Portland-OR-97203/53843685_zpid/#charts-and-data,http://www.zillow.com/homedetails/9734-N-Exeter-Ave-Portland-OR-97203/53843685_zpid/,1092,SingleFamily,04/01/1991,32000,45.593316,-122.721821,5000,225700.0,2015,1906,319408,02/06/2017,0,297049,341767,-199,53843685
18,3.0,4,http://www.zillow.com/homedetails/16359-SW-Leeding-Ln-Tigard-OR-97223/48574487_zpid/#charts-and-data,http://www.zillow.com/homedetails/16359-SW-Leeding-Ln-Tigard-OR-97223/48574487_zpid/,2794,SingleFamily,06/29/2006,495000,45.422419,-122.845643,7841,464400.0,2015,1997,537143,02/06/2017,0,510286,569372,-1103,48574487
19,2.5,3,http://www.zillow.com/homedetails/8165-SW-Langtree-St-Tigard-OR-97224/94727186_zpid/#charts-and-data,http://www.zillow.com/homedetails/8165-SW-Langtree-St-Tigard-OR-97224/2136595921_zpid/,2176,Unknown,03/29/2012,287000,45.4072,-122.7625,3049,376030.0,2015,2010,,12/31/1969,0,,,,2136595921
20,3.0,5,http://www.zillow.com/homedetails/8821-SW-57th-Ave-Portland-OR-97219/53823491_zpid/#charts-and-data,http://www.zillow.com/homedetails/8821-SW-57th-Ave-Portland-OR-97219/53823491_zpid/,3048,SingleFamily,10/04/2016,490350,45.461533,-122.735954,10890,428880.0,2015,1967,557078,02/06/2017,0,506941,601644,-2308,53823491
21,2.0,3,,http://www.zillow.com/homedetails/5055-Foothills-Dr-UNIT-A-Lake-Oswego-OR-97034/2123650226_zpid/,1250,SingleFamily,,,45.419239,-122.658294,,,,1990,238104,02/06/2017,0,202388,269058,3995,2123650226
22,2.0,5,http://www.zillow.com/homedetails/10762-SE-78th-Ave-Milwaukie-OR-97222/48217058_zpid/#charts-and-data,http://www.zillow.com/homedetails/10762-SE-78th-Ave-Milwaukie-OR-97222/48217058_zpid/,2110,SingleFamily,11/18/2005,187000,45.445017,-122.583132,7760,249608.0,2015,1966,365365,02/06/2017,0,347097,398248,1690,48217058
23,2.0,,http://www.zillow.com/homedetails/1001-NW-Lovejoy-St-UNIT-405-Portland-OR-97209/79897482_zpid/#charts-and-data,http://www.zillow.com/homedetails/1001-NW-Lovejoy-St-UNIT-405-Portland-OR-97209/79897482_zpid/,1342,Condominium,05/13/2015,745000,45.530593,-122.6819,,788510.0,2015,2006,885125,02/06/2017,0,778910,929381,9212,79897482
24,1.0,,http://www.zillow.com/homedetails/1811-NW-Couch-St-APT-412-Portland-OR-97209/68353018_zpid/#charts-and-data,http://www.zillow.com/homedetails/1811-NW-Couch-St-APT-412-Portland-OR-97209/68353018_zpid/,593,Condominium,,,45.523607,-122.689526,,209760.0,2015,1916,269454,02/06/2017,0,255981,282927,-472,68353018
25,2.5,3,http://www.zillow.com/homedetails/2611-SE-105th-Ave-Portland-OR-97266/90191409_zpid/#charts-and-data,http://www.zillow.com/homedetails/2611-SE-105th-Ave-Portland-OR-97266/90191409_zpid/,1340,Townhouse,10/06/2011,126000,45.503272,-122.555793,,138310.0,2015,2009,217004,02/06/2017,0,195304,236534,-111,90191409
26,2.0,3,http://www.zillow.com/homedetails/5516-SE-Reedway-St-Portland-OR-97206/53971253_zpid/#charts-and-data,http://www.zillow.com/homedetails/5516-SE-Reedway-St-Portland-OR-97206/53971253_zpid/,1900,SingleFamily,01/11/2008,267000,45.481588,-122.606331,4800,321360.0,2015,1948,455183,02/06/2017,0,432424,477942,1037,53971253
27,2.0,3,http://www.zillow.com/homedetails/1735-Ash-St-Forest-Grove-OR-97116/48602113_zpid/#charts-and-data,http://www.zillow.com/homedetails/1735-Ash-St-Forest-Grove-OR-97116/48602113_zpid/,2544,SingleFamily,01/28/2011,225000,45.516884,-123.109996,6098,210340.0,2015,1920,276783,02/06/2017,0,246337,298926,-696,48602113
28,1.0,3,http://www.zillow.com/homedetails/211-SE-143rd-Ave-Portland-OR-97233/61807688_zpid/#charts-and-data,http://www.zillow.com/homedetails/211-SE-143rd-Ave-Portland-OR-97233/61807688_zpid/,1108,SingleFamily,09/28/2016,240000,45.520814,-122.516115,4826,180070.0,2015,1964,247987,02/06/2017,0,230628,260386,1099,61807688
29,1.0,4,http://www.zillow.com/homedetails/4044-NE-6th-Ave-Portland-OR-97212/53903343_zpid/#charts-and-data,http://www.zillow.com/homedetails/4044-NE-6th-Ave-Portland-OR-97212/53903343_zpid/,1308,SingleFamily,,,45.552758,-122.659286,5000,350540.0,2015,1904,463093,02/06/2017,0,435307,490879,3517,53903343
30,2.0,3,http://www.zillow.com/homedetails/20200-SW-Brightwood-Ct-Aloha-OR-97003/48596941_zpid/#charts-and-data,http://www.zillow.com/homedetails/20200-SW-Brightwood-Ct-Aloha-OR-97003/48596941_zpid/,1740,SingleFamily,10/01/1982,85000,45.503722,-122.884091,10454,261610.0,2015,1976,343189,02/06/2017,0,326030,360348,3428,48596941
31,2.0,3,http://www.zillow.com/homedetails/1861-Primrose-Ln-Forest-Grove-OR-97116/48557310_zpid/#charts-and-data,http://www.zillow.com/homedetails/1861-Primrose-Ln-Forest-Grove-OR-97116/48557310_zpid/,1768,SingleFamily,03/01/2006,325000,45.532942,-123.115457,11761,311800.0,2015,1991,361105,02/06/2017,0,335828,386382,940,48557310
32,1.0,2,http://www.zillow.com/homedetails/3327-SE-65th-Ave-Portland-OR-97206/53840394_zpid/#charts-and-data,http://www.zillow.com/homedetails/3327-SE-65th-Ave-Portland-OR-97206/53840394_zpid/,582,SingleFamily,07/18/2014,215000,45.49834,-122.596892,4791,226600.0,2015,1923,312858,02/06/2017,0,284701,334758,12938,53840394
33,1.0,2,http://www.zillow.com/homedetails/3933-SE-Ankeny-St-Portland-OR-97214/53900405_zpid/#charts-and-data,http://www.zillow.com/homedetails/3933-SE-Ankeny-St-Portland-OR-97214/53900405_zpid/,1580,SingleFamily,03/01/1987,78500,45.522957,-122.622154,5213,473450.0,2012,1920,699051,02/06/2017,0,629146,747985,2370,53900405
34,2.0,3,http://www.zillow.com/homedetails/2416-NE-13th-Way-Hillsboro-OR-97124/48581809_zpid/#charts-and-data,http://www.zillow.com/homedetails/2416-NE-13th-Way-Hillsboro-OR-97124/48581809_zpid/,1311,SingleFamily,04/17/2015,247000,45.542048,-122.969023,3920,270480.0,2015,1998,333329,02/06/2017,0,313329,349995,-602,48581809
35,2.5,3,http://www.zillow.com/homedetails/1657-SE-29th-Ave-Hillsboro-OR-97123/52697774_zpid/#charts-and-data,http://www.zillow.com/homedetails/1657-SE-29th-Ave-Hillsboro-OR-97123/52697774_zpid/,1536,SingleFamily,07/31/2014,235000,45.506873,-122.953306,3049,224220.0,2015,2001,282936,02/06/2017,0,265960,297083,1523,52697774
36,2.0,4,http://www.zillow.com/homedetails/1391-NE-10th-Ave-Hillsboro-OR-97124/48618813_zpid/#charts-and-data,http://www.zillow.com/homedetails/1391-NE-10th-Ave-Hillsboro-OR-97124/48618813_zpid/,2600,SingleFamily,10/31/1995,155000,45.534825,-122.973239,10006,296970.0,2015,1976,396528,02/06/2017,0,372736,420320,337,48618813
37,1.0,3,http://www.zillow.com/homedetails/850-SE-180th-Ave-Portland-OR-97233/53949150_zpid/#charts-and-data,http://www.zillow.com/homedetails/850-SE-180th-Ave-Portland-OR-97233/53949150_zpid/,1224,SingleFamily,,,45.51621,-122.477333,9100,169250.0,2015,1956,253789,02/07/2017,0,238562,269016,826,53949150
38,2.0,3,http://www.zillow.com/homedetails/7740-SW-Brentwood-St-Portland-OR-97225/48627522_zpid/#charts-and-data,http://www.zillow.com/homedetails/7740-SW-Brentwood-St-Portland-OR-97225/48627522_zpid/,1905,SingleFamily,,,45.490741,-122.7568,12632,693500.0,2015,1956,705929,02/06/2017,0,635336,818878,-3465,48627522
39,1.0,3,http://www.zillow.com/homedetails/5734-N-Moore-Ave-Portland-OR-97217/53933618_zpid/#charts-and-data,http://www.zillow.com/homedetails/5734-N-Moore-Ave-Portland-OR-97217/53933618_zpid/,1501,SingleFamily,06/04/2003,249900,45.564456,-122.667665,5000,370790.0,2015,1937,526772,02/06/2017,0,479363,574181,827,53933618
40,2.0,2,http://www.zillow.com/homedetails/4307-NE-38th-Ave-Portland-OR-97211/53988812_zpid/#charts-and-data,http://www.zillow.com/homedetails/4307-NE-38th-Ave-Portland-OR-97211/53988812_zpid/,1012,SingleFamily,06/11/2003,243000,45.553874,-122.624765,7810,507580.0,2015,1927,537143,02/06/2017,0,488800,574743,6155,53988812
41,2.0,4,http://www.zillow.com/homedetails/626-NE-Russell-St-Portland-OR-97212/53812559_zpid/#charts-and-data,http://www.zillow.com/homedetails/626-NE-Russell-St-Portland-OR-97212/53812559_zpid/,1596,SingleFamily,04/18/2006,327000,45.541006,-122.65903,5000,376970.0,2015,1905,528592,02/07/2017,0,502162,555022,506,53812559
42,3.0,3,http://www.zillow.com/homedetails/3522-NW-123rd-Pl-Portland-OR-97229/48556666_zpid/#charts-and-data,http://www.zillow.com/homedetails/3522-NW-123rd-Pl-Portland-OR-97229/48556666_zpid/,3916,SingleFamily,03/10/2015,839900,45.544858,-122.802848,12632,834890.0,2015,1992,1024206,02/06/2017,0,972996,1075416,5740,48556666
43,2.5,2,http://www.zillow.com/homedetails/2054-Sunray-Cir-West-Linn-OR-97068/48302123_zpid/#charts-and-data,http://www.zillow.com/homedetails/2054-Sunray-Cir-West-Linn-OR-97068/48302123_zpid/,1426,SingleFamily,05/26/2005,199900,45.378041,-122.655212,2550,233073.0,2015,1989,310100,02/06/2017,0,294595,325605,-503,48302123
44,1.0,0,http://www.zillow.com/homedetails/654-SW-Grant-St-APT-104-Portland-OR-97201/108709572_zpid/#charts-and-data,http://www.zillow.com/homedetails/654-SW-Grant-St-APT-104-Portland-OR-97201/108709572_zpid/,336,Condominium,01/31/2017,152000,45.507379,-122.684956,,132210.0,2015,1917,224959,02/06/2017,0,197964,240706,3283,108709572
45,2.0,3,http://www.zillow.com/homedetails/20400-SW-72nd-Ave-Tualatin-OR-97062/48526279_zpid/#charts-and-data,http://www.zillow.com/homedetails/20400-SW-72nd-Ave-Tualatin-OR-97062/48526279_zpid/,1633,SingleFamily,11/26/2014,335000,45.372403,-122.751142,8276,321070.0,2015,1983,388454,02/06/2017,0,369031,407877,-558,48526279
46,3.5,4,http://www.zillow.com/homedetails/7832-SW-Edgewater-E-Wilsonville-OR-97070/48272574_zpid/#charts-and-data,http://www.zillow.com/homedetails/7832-SW-Edgewater-E-Wilsonville-OR-97070/48272574_zpid/,3156,SingleFamily,10/07/2016,777900,45.292547,-122.75753,13503,587231.0,2015,1994,1239620,02/07/2017,0,1115658,1599110,120269,48272574
47,3.0,5,http://www.zillow.com/homedetails/4265-NW-192nd-Ave-Portland-OR-97229/48618262_zpid/#charts-and-data,http://www.zillow.com/homedetails/4265-NW-192nd-Ave-Portland-OR-97229/48618262_zpid/,3527,SingleFamily,06/15/2004,190000,45.55035,-122.875503,8276,417390.0,2015,1966,567485,02/06/2017,0,527761,601534,10790,48618262
48,1.0,3,http://www.zillow.com/homedetails/4609-SE-35th-Ave-Portland-OR-97202/53856390_zpid/#charts-and-data,http://www.zillow.com/homedetails/4609-SE-35th-Ave-Portland-OR-97202/53856390_zpid/,1209,SingleFamily,07/24/1998,64000,45.489598,-122.628646,6117,304190.0,2015,1945,433525,02/07/2017,0,394508,489883,2042,53856390
49,4.0,3,http://www.zillow.com/homedetails/2626-NW-Westover-Rd-Portland-OR-97210/53993371_zpid/#charts-and-data,http://www.zillow.com/homedetails/2626-NW-Westover-Rd-Portland-OR-97210/53993371_zpid/,3036,SingleFamily,11/17/2015,727500,45.528117,-122.705798,7405,670820.0,2015,1953,983229,02/06/2017,0,934068,1032390,27373,53993371
50,2.0,3,http://www.zillow.com/homedetails/1955-Hillhouse-Dr-West-Linn-OR-97068/48242684_zpid/#charts-and-data,http://www.zillow.com/homedetails/1955-Hillhouse-Dr-West-Linn-OR-97068/48242684_zpid/,876,SingleFamily,03/01/1985,76500,45.347333,-122.660361,10001,286285.0,2015,1979,343095,02/06/2017,0,308786,367112,3396,48242684
51,3.0,3,,http://www.zillow.com/homedetails/839-SE-Tamango-St-Hillsboro-OR-97123/2096314056_zpid/,2088,SingleFamily,,,45.509792,-122.976528,,,,2017,423949,02/06/2017,0,385794,491781,18668,2096314056
52,3.0,4,http://www.zillow.com/homedetails/2863-NW-Cumberland-Rd-Portland-OR-97210/53984582_zpid/#charts-and-data,http://www.zillow.com/homedetails/2863-NW-Cumberland-Rd-Portland-OR-97210/53984582_zpid/,2781,SingleFamily,07/29/2016,1020000,45.529444,-122.710106,4791,647940.0,2015,1937,1067996,02/06/2017,0,865077,1302955,-13173,53984582
53,5.0,4,http://www.zillow.com/homedetails/10328-SE-Regina-Ct-Happy-Valley-OR-97086/80479582_zpid/#charts-and-data,http://www.zillow.com/homedetails/10328-SE-Regina-Ct-Happy-Valley-OR-97086/80479582_zpid/,4469,SingleFamily,05/07/2007,925000,45.448598,-122.521441,20788,835808.0,2015,2006,1023270,02/06/2017,0,972107,1074433,22441,80479582
54,2.0,,http://www.zillow.com/homedetails/4828-N-Williams-Ave-APT-A-Portland-OR-97217/121651021_zpid/#charts-and-data,http://www.zillow.com/homedetails/4828-N-Williams-Ave-APT-A-Portland-OR-97217/121651021_zpid/,2090,SingleFamily,08/04/2009,275000,45.558204,-122.666412,5423,333630.0,2015,1958,570068,02/06/2017,0,541565,609973,3153,121651021
55,3.0,4,http://www.zillow.com/homedetails/2267-SE-Kelly-Ave-Gresham-OR-97080/53839945_zpid/#charts-and-data,http://www.zillow.com/homedetails/2267-SE-Kelly-Ave-Gresham-OR-97080/53839945_zpid/,1920,SingleFamily,11/21/2005,235000,45.481135,-122.426938,8750,251100.0,2015,1976,324348,02/06/2017,0,308131,340565,265,53839945
56,4.0,5,http://www.zillow.com/homedetails/11960-SW-Aspen-Ridge-Dr-Tigard-OR-97224/48561711_zpid/#charts-and-data,http://www.zillow.com/homedetails/11960-SW-Aspen-Ridge-Dr-Tigard-OR-97224/48561711_zpid/,4299,SingleFamily,05/29/2015,574000,45.411538,-122.800342,9583,544050.0,2015,1994,675932,02/06/2017,0,615098,709729,-3704,48561711
57,2.5,3,http://www.zillow.com/homedetails/6610-NE-25th-Ave-Portland-OR-97211/53888915_zpid/#charts-and-data,http://www.zillow.com/homedetails/6610-NE-25th-Ave-Portland-OR-97211/53888915_zpid/,1440,SingleFamily,,,45.570781,-122.639964,5000,303720.0,2015,2001,438125,02/07/2017,0,416219,464413,3412,53888915
58,2.0,3,http://www.zillow.com/homedetails/19501-Silverfox-Pkwy-Oregon-City-OR-97045/65358526_zpid/#charts-and-data,http://www.zillow.com/homedetails/19501-Silverfox-Pkwy-Oregon-City-OR-97045/65358526_zpid/,1752,SingleFamily,06/27/2014,308500,45.322578,-122.602912,8276,323590.0,2015,2003,377722,02/06/2017,0,358836,400385,502,65358526
59,3.0,2,http://www.zillow.com/homedetails/1582-NE-Ashberry-Dr-Hillsboro-OR-97124/53073899_zpid/#charts-and-data,http://www.zillow.com/homedetails/1582-NE-Ashberry-Dr-Hillsboro-OR-97124/53073899_zpid/,1530,Townhouse,04/12/2004,270000,45.536449,-122.911733,1307,318430.0,2015,2003,352382,02/06/2017,0,327715,373525,56,53073899
60,1.0,2,http://www.zillow.com/homedetails/3925-SW-Multnomah-Blvd-APT-108-Portland-OR-97219/82332114_zpid/#charts-and-data,http://www.zillow.com/homedetails/3925-SW-Multnomah-Blvd-APT-108-Portland-OR-97219/82332114_zpid/,750,Townhouse,07/30/2008,181500,45.46749,-122.717277,,163190.0,2015,1972,204542,02/06/2017,0,192269,214769,1075,82332114
61,3.0,3,http://www.zillow.com/homedetails/17736-SW-Heatherwood-Ln-Sherwood-OR-97140/52693410_zpid/#charts-and-data,http://www.zillow.com/homedetails/17736-SW-Heatherwood-Ln-Sherwood-OR-97140/52693410_zpid/,1310,Townhouse,03/13/2015,221000,45.349924,-122.859259,2613,202070.0,2015,1999,264252,02/06/2017,0,251039,277465,3153,52693410
62,2.0,3,http://www.zillow.com/homedetails/4920-SE-34th-Ave-Portland-OR-97202/53940902_zpid/#charts-and-data,http://www.zillow.com/homedetails/4920-SE-34th-Ave-Portland-OR-97202/53940902_zpid/,1472,SingleFamily,06/13/1994,128500,45.487468,-122.628629,6000,335780.0,2015,1915,471763,02/06/2017,0,443457,509504,-2394,53940902
63,1.0,,http://www.zillow.com/homedetails/2159-NE-Weidler-St-2159-Portland-OR-97232/71244997_zpid/#charts-and-data,http://www.zillow.com/homedetails/2159-NE-Weidler-St-2159-Portland-OR-97232/71244997_zpid/,798,Condominium,02/26/2010,152000,45.534488,-122.643771,,143450.0,2015,1966,255054,02/06/2017,0,219346,272908,364,71244997
64,2.0,,http://www.zillow.com/homedetails/12321-SE-Blaine-Dr-Clackamas-OR-97015/48311282_zpid/#charts-and-data,http://www.zillow.com/homedetails/12321-SE-Blaine-Dr-Clackamas-OR-97015/48311282_zpid/,2778,SingleFamily,03/18/2014,364000,45.420734,-122.536622,9519,380422.0,2015,1996,459703,02/06/2017,0,436718,482688,1487,48311282
65,2.0,3,http://www.zillow.com/homedetails/6015-SE-88th-Ave-Portland-OR-97266/53817908_zpid/#charts-and-data,http://www.zillow.com/homedetails/6015-SE-88th-Ave-Portland-OR-97266/53817908_zpid/,1012,SingleFamily,11/17/2005,199900,45.478937,-122.572798,4000,205590.0,2015,1996,264818,02/06/2017,0,246281,299244,80,53817908
66,1.0,2,http://www.zillow.com/homedetails/5272-NE-31st-Ave-Portland-OR-97211/53867449_zpid/#charts-and-data,http://www.zillow.com/homedetails/5272-NE-31st-Ave-Portland-OR-97211/53867449_zpid/,1168,SingleFamily,08/01/1987,20088,45.561366,-122.63351,4000,315740.0,2015,1906,444069,02/06/2017,0,417425,466272,-669,53867449
67,12.0,,http://www.zillow.com/homedetails/3724-SE-40th-Ave-Portland-OR-97202/53998447_zpid/#charts-and-data,http://www.zillow.com/homedetails/3724-SE-40th-Ave-Portland-OR-97202/53998447_zpid/,12432,MultiFamily2To4,07/02/2010,900000,45.496019,-122.62023,15246,1335720.0,2015,1961,1766638,02/07/2017,0,1678306,1925635,-5253,53998447
68,1.0,,http://www.zillow.com/homedetails/2727-NE-Rene-Ave-31-D-Gresham-OR-97030/82332057_zpid/#charts-and-data,http://www.zillow.com/homedetails/2727-NE-Rene-Ave-31-D-Gresham-OR-97030/82332057_zpid/,850,Condominium,03/11/2011,6200000,45.515656,-122.409174,,86830.0,2015,1975,92367,02/06/2017,0,84054,108993,374,82332057
69,2.0,3,http://www.zillow.com/homedetails/19245-SW-Rock-Dr-Beaverton-OR-97003/48591806_zpid/#charts-and-data,http://www.zillow.com/homedetails/19245-SW-Rock-Dr-Beaverton-OR-97003/48591806_zpid/,1556,SingleFamily,11/14/2013,249900,45.507143,-122.875694,6969,245790.0,2015,1972,329644,02/06/2017,0,313162,349423,5313,48591806
70,2.5,3,http://www.zillow.com/homedetails/2888-SE-Elliott-Dr-Gresham-OR-97080/71243828_zpid/#charts-and-data,http://www.zillow.com/homedetails/2888-SE-Elliott-Dr-Gresham-OR-97080/71243828_zpid/,2254,SingleFamily,01/18/2012,269910,45.476612,-122.427694,6534,354780.0,2015,2007,441482,02/06/2017,0,419408,463556,899,71243828
71,1.0,1,http://www.zillow.com/homedetails/1126-SW-12th-Ave-1134-Portland-OR-97205/80935146_zpid/#charts-and-data,http://www.zillow.com/homedetails/1126-SW-12th-Ave-HJHHNMKRF-Portland-OR-97205/2096589403_zpid/,811,MultiFamily5Plus,10/03/2011,1442850,45.517341,-122.685507,10000,4325950.0,2015,1910,,12/31/1969,0,,,,2096589403
72,2.0,6,http://www.zillow.com/homedetails/7405-SE-84th-Ave-Portland-OR-97266/53818468_zpid/#charts-and-data,http://www.zillow.com/homedetails/7405-SE-84th-Ave-Portland-OR-97266/53818468_zpid/,1768,SingleFamily,08/28/2006,230000,45.469458,-122.577268,5250,197410.0,2014,1956,292728,02/07/2017,0,260528,313219,364,53818468
73,3.0,3,http://www.zillow.com/homedetails/18261-SW-Fallatin-Loop-Aloha-OR-97007/48540265_zpid/#charts-and-data,http://www.zillow.com/homedetails/18261-SW-Fallatin-Loop-Aloha-OR-97007/48540265_zpid/,2428,SingleFamily,01/29/1992,27500,45.461116,-122.865087,5662,360700.0,2015,1995,460564,02/07/2017,0,437536,483592,2162,48540265
74,2.0,4,http://www.zillow.com/homedetails/1425-Harvard-Ave-Gladstone-OR-97027/48252764_zpid/#charts-and-data,http://www.zillow.com/homedetails/1425-Harvard-Ave-Gladstone-OR-97027/48252764_zpid/,2016,SingleFamily,08/15/1997,138900,45.387692,-122.595708,12632,267583.0,2015,1947,353101,02/07/2017,0,331915,370756,555,48252764
75,2.5,4,http://www.zillow.com/homedetails/5744-NE-Farnham-St-Hillsboro-OR-97124/59985971_zpid/#charts-and-data,http://www.zillow.com/homedetails/5744-NE-Farnham-St-Hillsboro-OR-97124/59985971_zpid/,2300,SingleFamily,07/30/2009,325000,45.528216,-122.922569,3920,358170.0,2015,2002,445757,02/07/2017,0,423469,468045,-725,59985971
76,2.0,3,http://www.zillow.com/homedetails/7920-N-Foss-Ave-Portland-OR-97203/53974277_zpid/#charts-and-data,http://www.zillow.com/homedetails/7920-N-Foss-Ave-Portland-OR-97203/53974277_zpid/,1644,SingleFamily,12/12/2014,300000,45.581238,-122.709957,4791,280990.0,2015,1934,418887,02/07/2017,0,397943,444020,-328,53974277
